concern_text,label
Kaluya san portal,MIS Office
Rubat an TV,Maintenance Office
Kahalaba san pila permi sa cashier,Cashier Office
Kabastos san instructor,Faculty Office
Maluya an pila sa cashier,Cashier Office
Kabastos san instructor,Faculty Office
I want to request a transcript,Registrar Office
Narubat an mga UTP cable,MIS Office
I need to request my transcript of records,Registrar Office
Kapaso san Socio,Maintenance Office
Rubat an mga UTP cable,MIS Office
Kapaso san Socio room,Maintenance Office
Mahugaw san comfort room,Maintenance Office
I need to request for ID card creation,Internet Laboratory
Kaluya san portal,MIS Office
I need assistance with school issue handling This is affecting my studies.,IMCO Office
Kasarang san trash can,Maintenance Office
Kabastos san instructor,Faculty Office
Mapaso san Socio room,Maintenance Office
"Good day, i need help with school problem handling",IMCO Office
Narubat an mga UTP cable,MIS Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I need assistance with student ID creation process,Internet Laboratory
Kahalaba san pila san registrar,Registrar Office
I want to request a transcript,Registrar Office
I need to request my transcript of records,Registrar Office
Sge sukot la baraydan,ISSC Office
I need assistance with ID card creation,Internet Laboratory
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Rubat an mga HDMI,Maintenance Office
I need to request for ID card creation,Internet Laboratory
I would like to report that i need help with school concern handling,IMCO Office
Kahugaw san comfort room,Maintenance Office
I need to request for ID card creation,Internet Laboratory
I want to request a copy of my transcript,Registrar Office
Kahalaba san pila san registrar,Registrar Office
I want to request my student transcript,Registrar Office
Maluya an pila sa cashier,Cashier Office
I need to request my academic transcript,Registrar Office
Kahalaba san pila san registrar,Registrar Office
Maluya an pila sa cashier,Cashier Office
I want to check my transcript status,Registrar Office
I need to request for ID card creation,Internet Laboratory
Maluya an pila san registrar,Registrar Office
Nasara san basurahan,Maintenance Office
I want to request for student ID creation,Internet Laboratory
Kaluya san internet sa lab,MIS Office
I need help with school concern management This is urgent.,IMCO Office
I want to request a copy of my transcript,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request a transcript,Registrar Office
I need assistance with ID card creation,Internet Laboratory
I need help with transcript processing,Registrar Office
I need assistance with school problem reporting This is urgent.,IMCO Office
I need to request my transcript of records,Registrar Office
Kahalaba san pila permi sa cashier,Cashier Office
Kabastos san instructor,Faculty Office
Maluya an pila sa cashier,Cashier Office
I have a problem that requires school attention This is urgent.,IMCO Office
Mapaso san Socio,Maintenance Office
I want to report a problem affecting students Thank you.,IMCO Office
I need assistance with ID card creation,Internet Laboratory
I need to request for ID card creation,Internet Laboratory
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kabastos san instructor,Faculty Office
I need to request my official transcript,Registrar Office
I need assistance with ID card creation,Internet Laboratory
Maluya an pila san registrar,Registrar Office
Maluya an pila sa cashier,Cashier Office
I need help with school problem addressing This is affecting my studies.,IMCO Office
Mapaso an classroom,Maintenance Office
Maluya an pila san registrar,Registrar Office
Wara pa ginahatag nga student handbook,ISSC Office
I want to check my transcript status,Registrar Office
I need assistance with student ID creation process,Internet Laboratory
Kaisog san instructor,Faculty Office
I need assistance with student ID creation process,Internet Laboratory
I need assistance with ID card creation,Internet Laboratory
"Hello, i need assistance with school issue handling",IMCO Office
Kaluya san portal,MIS Office
Wara pa ginahatag nga student handbook,ISSC Office
Kahalaba san pila permi sa cashier,Cashier Office
Kaisog san instructor,Faculty Office
Maluya an pila sa cashier,Cashier Office
I need assistance with ID card creation,Internet Laboratory
Narubat an HDMI cable,Maintenance Office
I want to check my transcript status,Registrar Office
I need assistance with student ID creation process,Internet Laboratory
I want to request for student ID creation,Internet Laboratory
I have an issue that needs school attention,IMCO Office
Kahalaba san pila permi sa cashier,Cashier Office
Kaisog san instructor,Faculty Office
I need help with problem dissemination to school Thank you.,IMCO Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kabaho san CR,Maintenance Office
Kaluya san portal,MIS Office
Kahalaba san pila san registrar,Registrar Office
Kaisog san instructor,Faculty Office
I need to request for ID card creation,Internet Laboratory
I want to request a transcript,Registrar Office
Kaluya san internet sa lab,MIS Office
Kaluya san mga internet,MIS Office
Kaluya san mga internet,MIS Office
I need to request for ID card creation,Internet Laboratory
Maluya an pila sa cashier,Cashier Office
Kahugaw san CR,Maintenance Office
"Good day, i need to report a school problem",IMCO Office
Kaluya san mga internet,MIS Office
Kapaso san classroom,Maintenance Office
Kabaho san CR,Maintenance Office
Kasarang san basurahan,Maintenance Office
I want to request a transcript of records,Registrar Office
I have an issue that needs school attention Thank you.,IMCO Office
Sge sukot la baraydan,ISSC Office
I want to request a copy of my transcript,Registrar Office
I want to request a copy of my transcript,Registrar Office
I need to request my transcript of records,Registrar Office
Narubat an mga UTP cable,MIS Office
Mapaso san room,Maintenance Office
Wara pa ginahatag nga student handbook,ISSC Office
Kaluya san portal,MIS Office
Kaisog san instructor,Faculty Office
I have an issue that needs school attention This is urgent.,IMCO Office
Kabastos san instructor,Faculty Office
I need to request my transcript of records,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Narubat an electric san mga room,Maintenance Office
Rubat an electric san mga room,Maintenance Office
I need help with school problem handling Thank you.,IMCO Office
I need assistance with student ID creation process,Internet Laboratory
Kahalaba san pila permi sa cashier,Cashier Office
I want to report a concern that affects students,IMCO Office
Sge sukot la baraydan,ISSC Office
Sge sukot la baraydan,ISSC Office
Mapaso san classroom,Maintenance Office
Sge sukot la baraydan,ISSC Office
Kaluya san mga internet,MIS Office
Kabastos san instructor,Faculty Office
I need assistance with ID card creation,Internet Laboratory
Narubat an mga UTP cable,MIS Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Sge sukot la baraydan,ISSC Office
Maluya an pila sa cashier,Cashier Office
Rubat an mga UTP cable,MIS Office
Rubat an mga TV,Maintenance Office
Kabastos san instructor,Faculty Office
Kaluya san portal,MIS Office
I want to request a transcript,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I need assistance with school dissemination Please help me.,IMCO Office
Narubat an aircon,Maintenance Office
Wara pa ginahatag nga student handbook,ISSC Office
Maluya an pila san registrar,Registrar Office
Narubat an mga UTP cable,MIS Office
Rubat an mga UTP cable,MIS Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request a copy of my transcript,Registrar Office
I need help with school issue resolution This is urgent.,IMCO Office
I want to request for student ID creation,Internet Laboratory
I want to request a transcript of records,Registrar Office
Wara tubig an comfort room,Maintenance Office
Narubat an TV,Maintenance Office
Narubat an TV,Maintenance Office
Kaluya san portal,MIS Office
Narubat an mga UTP cable,MIS Office
Kaluya san portal,MIS Office
Wara pa ginahatag nga student handbook,ISSC Office
I want to request a transcript,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request a transcript of records,Registrar Office
Sge sukot la baraydan,ISSC Office
I need assistance with ID card creation,Internet Laboratory
I have an issue that needs school assistance This is urgent.,IMCO Office
Wara pa ginahatag nga student handbook,ISSC Office
Kahugaw san comfort room,Maintenance Office
Kabastos san instructor,Faculty Office
Kabastos san instructor,Faculty Office
Wara pa ginahatag nga student handbook,ISSC Office
"Good day, i want to report a school problem",IMCO Office
Narubat an mga HDMI,Maintenance Office
Nasara san trash can,Maintenance Office
Wara pa ginahatag nga student handbook,ISSC Office
I need to request my official transcript,Registrar Office
I need assistance with school dissemination This is urgent.,IMCO Office
Mabaho san CR,Maintenance Office
Wara tubig an comfort room,Maintenance Office
The CR is smelly,Maintenance Office
I would like to report that i want to report a problem affecting students,IMCO Office
Kahalaba san pila san registrar,Registrar Office
I need to request my official transcript,Registrar Office
I want to request a copy of my transcript,Registrar Office
I want to request a transcript of records,Registrar Office
Kaluya san portal,MIS Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request for student ID creation,Internet Laboratory
The CR is dirty,Maintenance Office
Wara pa ginahatag nga student handbook,ISSC Office
I want to request for student ID creation,Internet Laboratory
I need assistance with ID card creation,Internet Laboratory
Rubat an mga UTP cable,MIS Office
I need help with transcript processing,Registrar Office
I want to request for student ID creation,Internet Laboratory
I need help with school problem management I need assistance urgently.,IMCO Office
I want to report a school-related concern,IMCO Office
Wara pa ginahatag nga student handbook,ISSC Office
Kaluya san mga internet,MIS Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Mabaho an CR,Maintenance Office
Kaluya san internet sa lab,MIS Office
Kaluya san mga internet,MIS Office
Kaisog san instructor,Faculty Office
Sge sukot la baraydan,ISSC Office
Rubat an mga UTP cable,MIS Office
I need to request my academic transcript,Registrar Office
I need to request my transcript of records,Registrar Office
I need assistance with problem dissemination Thank you.,IMCO Office
Wara tubig an comfort room,Maintenance Office
Kaluya san portal,MIS Office
I need assistance with ID card creation,Internet Laboratory
Kasarang san basurahan,Maintenance Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kahalaba san pila permi sa cashier,Cashier Office
I need to request my academic transcript,Registrar Office
I need to request my official transcript,Registrar Office
I need to request for ID card creation,Internet Laboratory
Kapaso san room,Maintenance Office
Narubat an mga UTP cable,MIS Office
Kabastos san instructor,Faculty Office
Kaluya san mga internet,MIS Office
I need help with transcript processing,Registrar Office
I have a concern that needs to be disseminated I need assistance urgently.,IMCO Office
I want to request my student transcript,Registrar Office
I need assistance with student ID creation process,Internet Laboratory
Kapaso san Socio,Maintenance Office
I have a problem that needs dissemination Thank you.,IMCO Office
Maluya an pila san registrar,Registrar Office
I have a problem that needs school help,IMCO Office
Kaluya san internet sa lab,MIS Office
Rubat an mga UTP cable,MIS Office
Kabastos san instructor,Faculty Office
I need to request for ID card creation,Internet Laboratory
Sge sukot la baraydan,ISSC Office
Kaluya san portal,MIS Office
No water in the CR,Maintenance Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kahalaba san pila permi sa cashier,Cashier Office
Mahugaw san comfort room,Maintenance Office
I need to request my official transcript,Registrar Office
I want to report a problem affecting students I need assistance urgently.,IMCO Office
Kahalaba san pila permi sa cashier,Cashier Office
Maluya an pila sa cashier,Cashier Office
Mabaho an CR,Maintenance Office
The Socio room is hot,Maintenance Office
I need help with transcript processing,Registrar Office
Maluya an pila sa cashier,Cashier Office
Kahalaba san pila san registrar,Registrar Office
Rubat an mga TV,Maintenance Office
Kahalaba san pila permi sa cashier,Cashier Office
Maluya an pila san registrar,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kaluya san mga internet,MIS Office
I want to request for student ID creation,Internet Laboratory
I need assistance with student ID creation process,Internet Laboratory
I need assistance with student ID creation process,Internet Laboratory
I want to request my student transcript,Registrar Office
Kabastos san instructor,Faculty Office
Kapaso san classroom,Maintenance Office
Kaisog san instructor,Faculty Office
Maluya an pila sa cashier,Cashier Office
I want to report a school-related problem,IMCO Office
Kaluya san internet sa lab,MIS Office
Kaisog san instructor,Faculty Office
I have a problem that needs dissemination Please help me.,IMCO Office
Kabastos san instructor,Faculty Office
I need to request my transcript of records,Registrar Office
I would like to report that i have a concern about school dissemination,IMCO Office
Maluya an pila sa cashier,Cashier Office
Mabaho san CR,Maintenance Office
I need to request for ID card creation,Internet Laboratory
I need assistance with ID card creation,Internet Laboratory
Mapaso san room,Maintenance Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Narubat an TV,Maintenance Office
I need help with school concern handling Thank you.,IMCO Office
Kahalaba san pila san registrar,Registrar Office
Maluya an pila sa cashier,Cashier Office
I need assistance with problem dissemination,IMCO Office
Narubat an mga TV,Maintenance Office
I need to request my academic transcript,Registrar Office
Sge sukot la baraydan,ISSC Office
Maluya an pila sa cashier,Cashier Office
Kaluya san internet sa lab,MIS Office
I would like to report that i have an issue that needs to be addressed,IMCO Office
I would like to report that i have a problem that needs immediate attention,IMCO Office
Kaluya san portal,MIS Office
I need assistance with ID card creation,Internet Laboratory
Sge sukot la baraydan,ISSC Office
"Good day, i want to report a school issue",IMCO Office
I need assistance with student ID creation process,Internet Laboratory
Kaluya san internet sa lab,MIS Office
Kabastos san instructor,Faculty Office
Rubat an electric san mga room,Maintenance Office
Kaluya san internet sa lab,MIS Office
I need assistance with student ID creation process,Internet Laboratory
Mahugaw san comfort room,Maintenance Office
I want to request for student ID creation,Internet Laboratory
I would like to report that i have a concern about school dissemination,IMCO Office
Kabastos san instructor,Faculty Office
Maluya an pila sa cashier,Cashier Office
I want to request a transcript of records,Registrar Office
Kaluya san portal,MIS Office
I want to report a school-related concern I hope you can help.,IMCO Office
"Good day, i want to report a problem in the school",IMCO Office
Kabastos san instructor,Faculty Office
I need assistance with student ID creation process,Internet Laboratory
Kabastos san instructor,Faculty Office
Kahalaba san pila permi sa cashier,Cashier Office
"Good day, i want to report a problem affecting students",IMCO Office
I need help with school issue resolution This is urgent.,IMCO Office
I need to request my transcript of records,Registrar Office
Kaisog san instructor,Faculty Office
Mapaso an room,Maintenance Office
I want to check my transcript status,Registrar Office
Kahalaba san pila permi sa cashier,Cashier Office
Kaluya san internet sa lab,MIS Office
Kasarang san trash can,Maintenance Office
Maluya an pila san registrar,Registrar Office
Rubat an mga UTP cable,MIS Office
Kaluya san internet sa lab,MIS Office
I want to request a copy of my transcript,Registrar Office
Maluya an pila san registrar,Registrar Office
Kaisog san instructor,Faculty Office
Wara pa ginahatag nga student handbook,ISSC Office
I want to request for student ID creation,Internet Laboratory
I need assistance with ID card creation,Internet Laboratory
I need assistance with ID card creation,Internet Laboratory
Kahalaba san pila permi sa cashier,Cashier Office
Kaisog san instructor,Faculty Office
Kahalaba san pila permi sa cashier,Cashier Office
I want to request for student ID creation,Internet Laboratory
Rubat an mga UTP cable,MIS Office
Kaluya san mga internet,MIS Office
Sge sukot la baraydan,ISSC Office
I want to request for student ID creation,Internet Laboratory
Kabastos san instructor,Faculty Office
Maluya an pila sa cashier,Cashier Office
Mabaho an comfort room,Maintenance Office
I need assistance with ID card creation,Internet Laboratory
Rubat an mga electric,Maintenance Office
I need assistance with school issue handling I need assistance urgently.,IMCO Office
Kabaho san comfort room,Maintenance Office
"Hello, i need help with school concern resolution",IMCO Office
I need to request my official transcript,Registrar Office
Kapaso san Socio room,Maintenance Office
I want to request a copy of my transcript,Registrar Office
I want to request a transcript of records,Registrar Office
Mapaso an room,Maintenance Office
Nasara san trash can,Maintenance Office
Maluya an pila sa cashier,Cashier Office
Mabaho san CR,Maintenance Office
Kaluya san mga internet,MIS Office
I need assistance with school-related concerns This is affecting my studies.,IMCO Office
I need to request my official transcript,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request a transcript of records,Registrar Office
Maluya an pila sa cashier,Cashier Office
Kaisog san instructor,Faculty Office
Narubat an mga UTP cable,MIS Office
Rubat an HDMI cable,Maintenance Office
Kabastos san instructor,Faculty Office
I want to report a school-related problem Please help me.,IMCO Office
Kaluya san mga internet,MIS Office
Kapaso an classroom,Maintenance Office
Mapaso an room,Maintenance Office
I need assistance with school-related concerns This is affecting my studies.,IMCO Office
I want to request for student ID creation,Internet Laboratory
I would like to report that i need help with school concern handling,IMCO Office
Kabastos san instructor,Faculty Office
Wara pa ginahatag nga student handbook,ISSC Office
I need to request for ID card creation,Internet Laboratory
I need assistance with school issue handling Thank you.,IMCO Office
I want to check my transcript status,Registrar Office
Kabaho san CR,Maintenance Office
Wara tubig an comfort room,Maintenance Office
Rubat an mga UTP cable,MIS Office
"Hello, i need help addressing a school problem",IMCO Office
Kaluya san internet sa lab,MIS Office
Mahugaw san CR,Maintenance Office
The CR is smelly,Maintenance Office
Kahalaba san pila permi sa cashier,Cashier Office
I need help with transcript processing,Registrar Office
Sge sukot la baraydan,ISSC Office
I want to request for student ID creation,Internet Laboratory
Kaluya san internet sa lab,MIS Office
I need help with transcript processing,Registrar Office
I want to request for student ID creation,Internet Laboratory
Kaluya san internet sa lab,MIS Office
I would like to report that i want to report a problem in the school,IMCO Office
Mapaso san Socio room,Maintenance Office
Maluya an pila san registrar,Registrar Office
Narubat an mga UTP cable,MIS Office
I need assistance with ID card creation,Internet Laboratory
Narubat an electric san mga room,Maintenance Office
Kapaso an classroom,Maintenance Office
I need help with school concern management This is affecting my studies.,IMCO Office
I want to request my student transcript,Registrar Office
Rubat an aircon,Maintenance Office
Kapaso san room,Maintenance Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request for student ID creation,Internet Laboratory
Rubat an TV,Maintenance Office
I need to request my official transcript,Registrar Office
Kaluya san mga internet,MIS Office
I want to request for student ID creation,Internet Laboratory
Kahalaba san pila permi sa cashier,Cashier Office
I want to report an issue to the school Please help me.,IMCO Office
I have a concern that needs to be disseminated Please help me.,IMCO Office
Kaluya san mga internet,MIS Office
Rubat an mga HDMI,Maintenance Office
I want to request my student transcript,Registrar Office
Kaluya san mga internet,MIS Office
I would like to report that i need help with school issue resolution,IMCO Office
I need help with transcript processing,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
"Hello, i need help with school issue resolution",IMCO Office
"Good day, i need assistance with school problem reporting",IMCO Office
Narubat an mga UTP cable,MIS Office
Kahalaba san pila permi sa cashier,Cashier Office
I need to request for ID card creation,Internet Laboratory
I want to check my transcript status,Registrar Office
Sge sukot la baraydan,ISSC Office
I have an issue that needs school attention Please help me.,IMCO Office
I want to report an issue that needs school help This is urgent.,IMCO Office
Maluya an pila san registrar,Registrar Office
I need assistance with student ID creation process,Internet Laboratory
Rubat an mga UTP cable,MIS Office
I need help with transcript processing,Registrar Office
Mapaso san Socio,Maintenance Office
Kaluya san portal,MIS Office
I need help with transcript processing,Registrar Office
Kaluya san mga internet,MIS Office
I need help with transcript processing,Registrar Office
I need to request my official transcript,Registrar Office
I want to request a transcript of records,Registrar Office
Kahalaba san pila permi sa cashier,Cashier Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kabastos san instructor,Faculty Office
Kahalaba san pila permi sa cashier,Cashier Office
Kaisog san instructor,Faculty Office
Wara pa ginahatag nga student handbook,ISSC Office
Kahalaba san pila permi sa cashier,Cashier Office
Maluya an pila sa cashier,Cashier Office
Maluya an pila san registrar,Registrar Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I would like to report that i want to report a school problem,IMCO Office
Rubat an mga UTP cable,MIS Office
Kaluya san mga internet,MIS Office
I need assistance with ID card creation,Internet Laboratory
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to check my transcript status,Registrar Office
Kaluya san internet sa lab,MIS Office
Rubat an mga UTP cable,MIS Office
Rubat an electric san mga room,Maintenance Office
I need help with transcript processing,Registrar Office
I want to request for student ID creation,Internet Laboratory
Rubat an mga UTP cable,MIS Office
Kahalaba san pila permi sa cashier,Cashier Office
Narubat an mga UTP cable,MIS Office
I want to request for student ID creation,Internet Laboratory
I need assistance with ID card creation,Internet Laboratory
Maluya an pila sa cashier,Cashier Office
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I want to request for student ID creation,Internet Laboratory
Kaluya san portal,MIS Office
I need assistance with ID card creation,Internet Laboratory
Kahalaba san pila sa cashier kada adlaw,Cashier Office
Kahalaba san pila permi sa cashier,Cashier Office
Maluya an pila sa cashier,Cashier Office
"Good day, i need assistance with school dissemination",IMCO Office
Kaluya san mga internet,MIS Office
Narubat an mga electric,Maintenance Office
I need to request for ID card creation,Internet Laboratory
I need to request for ID card creation,Internet Laboratory
I want to request a copy of my transcript,Registrar Office
"Good day, i need help with school problem handling",IMCO Office
Kabastos san instructor,Faculty Office
I need assistance with student ID creation process,Internet Laboratory
Kaluya san portal,MIS Office
Nasara san basurahan,Maintenance Office
Kahalaba san pila san registrar,Registrar Office
Kahalaba san pila permi sa cashier,Cashier Office
I want to request for student ID creation,Internet Laboratory
Narubat an electric san mga classroom,Maintenance Office
I want to request a copy of my transcript,Registrar Office
Maluya an pila sa cashier,Cashier Office
Kaluya san portal,MIS Office
I need assistance with student ID creation process,Internet Laboratory
Kahalaba san pila sa cashier kada adlaw,Cashier Office
I need to request my transcript of records,Registrar Office
I want to request a transcript of records,Registrar Office
Maluya an pila sa cashier,Cashier Office
I need assistance with student ID creation process,Internet Laboratory
Kahugaw san CR,Maintenance Office
Kaluya san mga internet,MIS Office
Maluya an pila sa cashier,Cashier Office
